user,contributions,repositories,primary_language,monthly_contributions,contribution_types
joaombc,195,8,Python,"{'2023-06': 2, '2023-07': 4, '2023-08': 0, '2023-09': 40, '2023-10': 52, '2023-11': 34, '2023-12': 30, '2024-01': 18, '2024-02': 9, '2024-03': 6, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 154, 'pull_requests': 3, 'issues': 0, 'reviews': 0}"
chaydson,109,24,TypeScript,"{'2023-06': 15, '2023-07': 11, '2023-08': 7, '2023-09': 12, '2023-10': 6, '2023-11': 46, '2023-12': 7, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 3, '2024-05': 2, '2024-06': 0}","{'commits': 78, 'pull_requests': 10, 'issues': 11, 'reviews': 4}"
weslley17w,195,27,TypeScript,"{'2023-06': 69, '2023-07': 28, '2023-08': 0, '2023-09': 19, '2023-10': 28, '2023-11': 30, '2023-12': 19, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 149, 'pull_requests': 36, 'issues': 5, 'reviews': 3}"
w1ll1am23,14,32,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 10, '2023-11': 1, '2023-12': 1, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 6, 'pull_requests': 3, 'issues': 5, 'reviews': 0}"
actions-user,0,0,N/A,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
deboracaires,108,65,JavaScript,"{'2023-06': 7, '2023-07': 14, '2023-08': 0, '2023-09': 14, '2023-10': 16, '2023-11': 25, '2023-12': 29, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 3, '2024-06': 0}","{'commits': 81, 'pull_requests': 13, 'issues': 4, 'reviews': 3}"
JulioR2022,61,5,Java,"{'2023-06': 1, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 1, '2023-11': 31, '2023-12': 28, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 57, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
joaobisi,107,12,C++,"{'2023-06': 10, '2023-07': 25, '2023-08': 17, '2023-09': 2, '2023-10': 6, '2023-11': 20, '2023-12': 26, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 79, 'pull_requests': 12, 'issues': 14, 'reviews': 1}"
emysdias,44,49,JavaScript,"{'2023-06': 24, '2023-07': 13, '2023-08': 0, '2023-09': 0, '2023-10': 5, '2023-11': 0, '2023-12': 0, '2024-01': 2, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 42, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
gjohansson-ST,2197,32,Python,"{'2023-06': 135, '2023-07': 211, '2023-08': 252, '2023-09': 144, '2023-10': 127, '2023-11': 172, '2023-12': 157, '2024-01': 186, '2024-02': 424, '2024-03': 161, '2024-04': 102, '2024-05': 126, '2024-06': 0}","{'commits': 938, 'pull_requests': 585, 'issues': 6, 'reviews': 659}"
